date,p_state_0,p_state_1,p_state_2,hard_state,max_prob
2022-12-20,1.6950841274382782e-09,0.9998304616504967,0.00016953665441900626,1,0.9998304616504967
2022-12-21,5.736321601273681e-15,0.9993601361166955,0.0006398638832988865,1,0.9993601361166955
2022-12-22,2.0979076681511434e-15,0.9990357095430473,0.0009642904569507124,1,0.9990357095430473
2022-12-23,8.156555276289194e-11,0.9998488707954077,0.0001511291230268042,1,0.9998488707954077
2022-12-27,9.877120001611597e-10,0.9998433592284114,0.00015663978387642086,1,0.9998433592284114
2022-12-28,6.677357164081714e-14,0.9994705216488433,0.0005294783510897178,1,0.9994705216488433
2022-12-29,7.044566637106754e-15,0.9984544122034876,0.0015455877965050563,1,0.9984544122034876
2022-12-30,5.556732682836527e-07,0.9998622034243735,0.00013724090235839822,1,0.9998622034243735
2023-01-03,3.51570599120268e-07,0.9998729182480401,0.00012673018136065975,1,0.9998729182480401
2023-01-04,2.414548266569542e-07,0.9998834435775025,0.00011631496767087661,1,0.9998834435775025
2023-01-05,3.0268139791100126e-09,0.9997013146846316,0.0002986822885545312,1,0.9997013146846316
2023-01-06,7.013046501871309e-22,0.9814702611052069,0.01852973889479272,1,0.9814702611052069
2023-01-09,4.085156139831718e-08,0.9997297155361676,0.00027024361227121174,1,0.9997297155361676
2023-01-10,6.609346726943146e-09,0.9998756846013234,0.00012430878932983275,1,0.9998756846013234
2023-01-11,1.8291680717469492e-11,0.9997152214918068,0.0002847784899016552,1,0.9997152214918068
2023-01-12,8.893013653746122e-08,0.9998813888058311,0.0001185222640324125,1,0.9998813888058311
2023-01-13,1.0458143232582979e-07,0.9998841231458575,0.00011577227271027376,1,0.9998841231458575
2023-01-17,5.406177817460819e-05,0.9998161317227552,0.0001298064990702653,1,0.9998161317227552
2023-01-18,4.335436531641523e-12,0.9988034179560304,0.0011965820396341053,1,0.9988034179560304
2023-01-19,1.6975548436818866e-06,0.9998514321679641,0.0001468702771920451,1,0.9998514321679641
2023-01-20,4.15685528537703e-15,0.9980532274014621,0.0019467725985339568,1,0.9980532274014621
2023-01-23,2.1136996261803104e-09,0.9997646353741729,0.00023536251212749428,1,0.9997646353741729
2023-01-24,3.2903064389386116e-05,0.9998277564465204,0.00013934048909019193,1,0.9998277564465204
2023-01-25,3.410716391559031e-05,0.9998177696063485,0.00014812322973603757,1,0.9998177696063485
2023-01-26,8.128319834819979e-08,0.9998235538363133,0.0001763648804882302,1,0.9998235538363133
2023-01-27,0.00029147039518036646,0.9995911294120909,0.00011740019272853076,1,0.9995911294120909
2023-01-30,2.3578922781121135e-08,0.9996013546625927,0.0003986217584845595,1,0.9996013546625927
2023-01-31,7.315194825367441e-10,0.9995551427926127,0.0004448564758678228,1,0.9995551427926127
