ticker,horizon,loss,model,in_mcs,mcs_p,set_size
FXE,5,qlike,gbm_gated,False,0.0,2
FXE,5,qlike,gbm_pooled,False,0.0005,2
FXE,5,qlike,har,False,0.0205,2
FXE,5,qlike,regime_features,False,0.0,2
FXE,5,qlike,regime_normal,False,0.0,2
FXE,5,qlike,regime_shrunk,False,0.0,2
FXE,5,qlike,ridge,False,0.0005,2
FXE,20,mse,ewma,True,0.7015,2
FXE,20,mse,garch11,True,0.7015,2
FXE,20,mse,gbm_gated,False,0.019,2
FXE,20,mse,gbm_pooled,False,0.026,2
FXE,20,mse,har,False,0.0435,2
FXE,20,mse,regime_features,False,0.0435,2
FXE,20,mse,regime_normal,False,0.019,2
FXE,20,mse,regime_shrunk,False,0.0435,2
FXE,20,mse,ridge,False,0.0435,2
FXE,20,qlike,ewma,True,0.1475,7
FXE,20,qlike,garch11,True,0.1475,7
FXE,20,qlike,gbm_gated,False,0.072,7
FXE,20,qlike,gbm_pooled,True,0.1475,7
FXE,20,qlike,har,True,0.1475,7
FXE,20,qlike,regime_features,True,0.1475,7
FXE,20,qlike,regime_normal,False,0.072,7
FXE,20,qlike,regime_shrunk,True,0.1475,7
FXE,20,qlike,ridge,True,0.1475,7
GLD,1,mse,ewma,True,0.207,6
GLD,1,mse,garch11,True,0.207,6
GLD,1,mse,gbm_gated,False,0.001,6
GLD,1,mse,gbm_pooled,True,0.207,6
GLD,1,mse,har,True,0.207,6
GLD,1,mse,regime_features,True,0.207,6
GLD,1,mse,regime_normal,False,0.018,6
GLD,1,mse,regime_shrunk,False,0.0595,6
GLD,1,mse,ridge,True,0.207,6
GLD,1,qlike,ewma,True,0.105,7
GLD,1,qlike,garch11,True,0.105,7
GLD,1,qlike,gbm_gated,False,0.003,7
GLD,1,qlike,gbm_pooled,True,0.105,7
GLD,1,qlike,har,True,0.105,7
GLD,1,qlike,regime_features,True,0.105,7
GLD,1,qlike,regime_normal,False,0.079,7
GLD,1,qlike,regime_shrunk,True,0.105,7
GLD,1,qlike,ridge,True,0.105,7
GLD,5,mse,ewma,True,0.217,7
GLD,5,mse,garch11,True,0.217,7
GLD,5,mse,gbm_gated,False,0.0385,7
GLD,5,mse,gbm_pooled,True,0.217,7
GLD,5,mse,har,True,0.217,7
GLD,5,mse,regime_features,True,0.217,7
GLD,5,mse,regime_normal,False,0.0035,7
GLD,5,mse,regime_shrunk,True,0.217,7
GLD,5,mse,ridge,True,0.217,7
GLD,5,qlike,ewma,True,0.222,8
GLD,5,qlike,garch11,True,0.222,8
GLD,5,qlike,gbm_gated,True,0.222,8
GLD,5,qlike,gbm_pooled,True,0.222,8
GLD,5,qlike,har,True,0.222,8
GLD,5,qlike,regime_features,True,0.222,8
GLD,5,qlike,regime_normal,False,0.0075,8
GLD,5,qlike,regime_shrunk,True,0.222,8
GLD,5,qlike,ridge,True,0.222,8
GLD,20,mse,ewma,True,0.1255,8
GLD,20,mse,garch11,True,0.1255,8
GLD,20,mse,gbm_gated,True,0.1255,8
GLD,20,mse,gbm_pooled,True,0.1255,8
GLD,20,mse,har,True,0.1255,8
GLD,20,mse,regime_features,True,0.1255,8
GLD,20,mse,regime_normal,False,0.0865,8
GLD,20,mse,regime_shrunk,True,0.1255,8
GLD,20,mse,ridge,True,0.1255,8
GLD,20,qlike,ewma,True,0.117,9
GLD,20,qlike,garch11,True,0.117,9
GLD,20,qlike,gbm_gated,True,0.117,9
