target,horizon,target_family,model,model_family,n_oos,rmse,mae,qlike,spearman,top_decile_hit,rmse_hv_now,mae_hv_now,rmse_hv_fut,mae_hv_fut,sel_K_mean,sel_K_mode,sel_soft_frac,ablation_train,ablation_test
y_absret_h5,5,point_absret,regime_both_shuffle,regime,3771,0.007606502326638629,0.005017111791860456,2.0952929911417164,0.2748270047419835,0.3253968253968254,0.014400053517419341,0.009503033882844049,0.01953397416214035,0.015490768610702503,2.7333333333333334,2.0,0.6666666666666666,shuffle,shuffle
y_absret_h5,5,point_absret,regime_expert_shuffle,regime,3771,0.0076035910354382945,0.005006797260396172,2.102335673784541,0.2715369479860871,0.3253968253968254,0.014358230371223213,0.009404970026644005,0.019652645218518585,0.015603586331629563,2.7333333333333334,2.0,0.8,shuffle,true
y_absret_h5,5,point_absret,regime_gate_shuffle,regime,3771,0.007572591151692915,0.004981850745886272,2.0842605452549603,0.26559438674293717,0.328042328042328,0.014086239723063195,0.009224176997701077,0.019601168818432824,0.01568366464641542,2.8,2.0,0.4,true,shuffle
y_absret_h5,5,point_absret,regime_normal,regime,3771,0.00761562014519976,0.004982971039118315,2.1032816915479153,0.27000261458557934,0.3544973544973545,0.014384793204636601,0.009539944037814788,0.01949878641603995,0.015299138566568388,3.4,4.0,0.6666666666666666,true,true
y_absret_h5,5,point_absret,regime_single,regime,3771,0.007538806833579451,0.00495093404962389,2.091665927948909,0.29066211331141006,0.35185185185185186,0.01411913995744217,0.009384128935795847,0.01932197420678143,0.015289967800681089,2.0,2.0,0.0,single,single
y_absret_h5,5,point_absret,ridge,baseline,3771,0.007538806833579451,0.00495093404962389,2.091665927948909,0.29066211331141006,0.35185185185185186,0.01411913995744217,0.009384128935795847,0.01932197420678143,0.015289967800681089,,,,,
y_absret_h5,5,point_absret,rw_vol,baseline,3771,0.008230822300135342,0.005581145280096195,2.537481188634627,0.2748562625480453,0.3333333333333333,0.015786984278364335,0.011472220388901827,0.016949255708310282,0.012808834626626079,,,,,
y_absret_h5,5,point_absret,train_mean,baseline,3771,0.008423059826722748,0.005713331543115418,2.7804277861963254,-0.03505095673066348,0.05389221556886228,0.016453917093405494,0.010068571335576813,0.02188727048057192,0.017623848366683896,,,,,
y_absret_h5,5,point_absret,zero,baseline,3771,0.010853169739452957,0.007161555432883101,13868.838384975426,0.0,0.10023866348448687,0.02056729113387261,0.014595647273444586,0.02805155081650868,0.02505272205533352,,,,,
y_rv_h1,1,realized_vol,ewma,baseline,3771,0.0072633047235853634,0.004843606662502999,1.8568610702000283,0.3250701908018262,0.35978835978835977,0.014642265517824207,0.010061071284747515,0.018037753950328046,0.014395887389152899,,,,,
y_rv_h1,1,realized_vol,garch11,baseline,3771,0.007051886094704794,0.004787044816136914,1.7779844295387817,0.34159503911705885,0.373015873015873,0.013883423649579294,0.009890446818359254,0.017105200887551467,0.014033052397709947,,,,,
y_rv_h1,1,realized_vol,har,baseline,3771,0.007133268128800965,0.004812303427216839,1.8413834282850303,0.339086780370029,0.35714285714285715,0.014227798654382827,0.010042934562477143,0.01744574918365218,0.014252936889862015,,,,,
y_rv_h1,1,realized_vol,regime_both_shuffle,regime,3771,0.007144213528134787,0.004712092755770994,5.230196378052527,0.35916736171144786,0.35978835978835977,0.01455198200391764,0.00987743036014224,0.017744520400646762,0.014221616821997182,2.8,2.0,0.6666666666666666,shuffle,shuffle
y_rv_h1,1,realized_vol,regime_expert_shuffle,regime,3771,0.007043601547797304,0.004709042175856289,5.088568330107474,0.3677451589441399,0.38095238095238093,0.014080555707213494,0.009888475425059716,0.017110889891325084,0.013703726669998684,2.7333333333333334,2.0,0.5333333333333333,shuffle,true
y_rv_h1,1,realized_vol,regime_gate_shuffle,regime,3771,0.007105584844949126,0.004717838579522746,2.0051171760329414,0.37156593081735334,0.35185185185185186,0.014312548033412201,0.00961305530838976,0.017857375732233473,0.014431511683282904,3.066666666666667,4.0,0.6666666666666666,true,shuffle
y_rv_h1,1,realized_vol,regime_normal,regime,3771,0.007224929893336076,0.004722321177644063,4.769987195445855,0.3796021559261884,0.35978835978835977,0.01519834871505735,0.01031639524120247,0.01807116443026182,0.014194868633151515,3.2666666666666666,4.0,0.5333333333333333,true,true
y_rv_h1,1,realized_vol,regime_single,regime,3771,0.006967938807619939,0.004635383478923978,2.1185281941171477,0.38840259502334246,0.36772486772486773,0.013953271140019438,0.009748469843633308,0.01697556006293409,0.013629751526422968,2.0,2.0,0.0,single,single
y_rv_h1,1,realized_vol,ridge,baseline,3771,0.006967938807619939,0.004635383478923978,2.1185281941171477,0.38840259502334246,0.36772486772486773,0.013953271140019438,0.009748469843633308,0.01697556006293409,0.013629751526422968,,,,,
y_rv_h1,1,realized_vol,rw_vol,baseline,3771,0.00943610599397466,0.006307146368909439,148.9393048785578,0.14982103473994282,0.24867724867724866,0.018785920222061575,0.013535784204778781,0.019068857938747335,0.015467102261211882,,,,,
y_rv_h1,1,realized_vol,train_mean,baseline,3771,0.00842337435241353,0.00571176088450622,2.784362259445476,-0.03669869990743689,0.05389221556886228,0.01786979890972879,0.010841794874090876,0.021890577754134517,0.017623179804024704,,,,,
y_rv_h1,1,realized_vol,zero,baseline,3771,0.010847142251404101,0.007154826006247698,13853.4304193945,0.0,0.10023866348448687,0.02201732089530382,0.015436536427273176,0.028046545660683313,0.02504469318105472,,,,,
y_rv_h20,20,realized_vol,ewma,baseline,3771,0.005061401028923432,0.0029949129621225884,0.5076551779135087,0.4798662714432142,0.5343915343915344,0.008248122164793143,0.00444029816005677,0.013472519341463549,0.009089906667221016,,,,,
y_rv_h20,20,realized_vol,garch11,baseline,3771,0.004912643206608076,0.003004015715985869,0.4724754404016397,0.4542769027080221,0.5158730158730159,0.007420515276723811,0.004253663049299359,0.012825175376727485,0.008904036028677847,,,,,
y_rv_h20,20,realized_vol,har,baseline,3771,0.00496667799333362,0.003002529293676951,0.4663046738749528,0.48492305585241735,0.5,0.007865857766392167,0.004355552495453304,0.013007472261606057,0.008916817471210184,,,,,
y_rv_h20,20,realized_vol,regime_both_shuffle,regime,3771,0.004891332433617802,0.002970678355861855,0.4796677490529946,0.5035085749606625,0.5079365079365079,0.007835857616202065,0.004820431905402249,0.01276051185788436,0.009029139863226341,2.4,2.0,0.8666666666666667,shuffle,shuffle
y_rv_h20,20,realized_vol,regime_expert_shuffle,regime,3771,0.00492541314582155,0.0029605863428843852,0.4780742822952862,0.5110111023824665,0.48148148148148145,0.007894373194305006,0.0045974584511291735,0.012978559977402,0.009181283639259703,2.8,2.0,0.6666666666666666,shuffle,true
y_rv_h20,20,realized_vol,regime_gate_shuffle,regime,3771,0.005089994829982968,0.0030923471799751004,0.530981765094737,0.4533375321590213,0.5,0.008119039054174167,0.004635448520232381,0.013186283114202153,0.00924161798854448,2.6,2.0,0.8666666666666667,true,shuffle
